"Age","Marital_Status","Race","Sex","Hrs_per_Week","Income","Net_Capital","EducationLevel_clean","Occupation_clean","WorkingClass_clean"
82,"Widowed","White","Female",18,"<=50K",-4356,"HighSchool","Professional","Private"
54,"Divorced","White","Female",40,"<=50K",-3900,"MiddleSchool","SkilledLabor","Private"
41,"Separated","White","Female",40,"<=50K",-3900,"Post-High_School","Professional","Private"
34,"Divorced","White","Female",45,"<=50K",-3770,"HighSchool","Services","Private"
38,"Separated","White","Male",40,"<=50K",-3770,"HighSchool","Services","Private"
74,"Never-married","White","Female",20,">50K",-3683,"HigherEducation","Professional","Governemnt"
68,"Divorced","White","Female",40,"<=50K",-3683,"HighSchool","Professional","Governemnt"
45,"Divorced","Black","Female",35,">50K",-3004,"HigherEducation","Professional","Private"
38,"Never-married","White","Male",45,">50K",-2824,"HigherEducation","Professional","SelfEmployed"
52,"Widowed","White","Female",20,">50K",-2824,"HigherEducation","Services","Private"
32,"Separated","White","Male",55,">50K",-2824,"HigherEducation","Professional","Private"
46,"Divorced","White","Male",40,">50K",-2824,"HigherEducation","Professional","Private"
45,"Divorced","White","Male",76,">50K",-2824,"HighSchool","ManualLabor","Private"
57,"Divorced","White","Male",50,">50K",-2824,"HigherEducation","Professional","Private"
34,"Separated","White","Male",50,">50K",-2824,"HigherEducation","Sales","Private"
37,"Never-married","White","Male",40,">50K",-2824,"HigherEducation","Professional","Private"
29,"Separated","White","Female",42,"<=50K",-2754,"HighSchool","Sales","Private"
61,"Divorced","White","Female",25,"<=50K",-2754,"HighSchool","Sales","Private"
51,"Married-civ-spouse","White","Male",40,"<=50K",-2603,"Post-High_School","ManualLabor","Private"
21,"Married-civ-spouse","White","Male",40,"<=50K",-2603,"Post-High_School","SkilledLabor","Private"
33,"Married-civ-spouse","White","Male",32,"<=50K",-2603,"Elementary","SkilledLabor","Private"
49,"Married-civ-spouse","White","Male",40,"<=50K",-2603,"Elementary","Services","Private"
37,"Never-married","White","Male",50,">50K",-2559,"HighSchool","ManualLabor","SelfEmployed"
38,"Never-married","White","Male",90,">50K",-2559,"HighSchool","Professional","Private"
23,"Separated","White","Male",40,">50K",-2559,"Post-High_School","Services","Private"
59,"Widowed","White","Female",50,">50K",-2559,"HighSchool","Professional","SelfEmployed"
52,"Divorced","White","Male",60,">50K",-2559,"HigherEducation","Professional","Private"
51,"Divorced","White","Male",50,">50K",-2559,"HigherEducation","Professional","Private"
60,"Never-married","Black","Male",50,">50K",-2559,"HighSchool","Professional","SelfEmployed"
63,"Divorced","White","Female",60,">50K",-2559,"HigherEducation","Professional","Governemnt"
53,"Never-married","White","Male",48,">50K",-2559,"HighSchool","Sales","Private"
51,"Never-married","White","Female",50,">50K",-2559,"HigherEducation","Professional","Private"
37,"Never-married","White","Female",60,">50K",-2559,"HigherEducation","Professional","SelfEmployed"
54,"Divorced","White","Female",40,">50K",-2559,"HigherEducation","Professional","Private"
44,"Divorced","White","Male",50,">50K",-2547,"HigherEducation","Professional","Private"
43,"Divorced","White","Female",40,">50K",-2547,"HigherEducation","Professional","Private"
51,"Divorced","White","Female",40,">50K",-2547,"Post-High_School","Services","Private"
43,"Divorced","White","Female",40,">50K",-2547,"HigherEducation","Professional","Private"
48,"Married-spouse-absent","White","Female",70,">50K",-2472,"HigherEducation","Sales","Private"
71,"Married-civ-spouse","White","Male",52,"<=50K",-2467,"HighSchool","Sales","Private"
73,"Married-civ-spouse","Asian-Pac-Islander","Male",40,"<=50K",-2457,"HighSchool","Specialized","SelfEmployed"
40,"Never-married","White","Male",45,">50K",-2444,"HigherEducation","Professional","SelfEmployed"
50,"Widowed","White","Female",72,">50K",-2444,"HighSchool","Sales","Private"
51,"Divorced","White","Male",39,">50K",-2444,"Post-High_School","Specialized","Governemnt"
42,"Never-married","White","Female",40,">50K",-2444,"Post-High_School","Professional","Private"
39,"Never-married","White","Male",45,">50K",-2444,"HigherEducation","Sales","Private"
32,"Never-married","White","Male",50,">50K",-2444,"HigherEducation","Professional","Private"
53,"Separated","White","Male",45,">50K",-2444,"Post-High_School","SkilledLabor","Private"
40,"Never-married","White","Male",40,">50K",-2444,"Post-High_School","Protective Services","Governemnt"
38,"Never-married","White","Female",45,">50K",-2444,"HigherEducation","Sales","Private"
33,"Separated","White","Male",42,">50K",-2444,"Post-High_School","SkilledLabor","Private"
